ticker,n_trades,outcome,p,d,q,arima_order,aic,adf_p,lb_p,rmse,mae,random_walk
KXMLBHR-26APR021410MINKC-MINMWALLNER38-1,82,1,2,1,2,"ARIMA(2,1,2)",-83.43,0.7595,0.1578,0.8848,0.8841,Yes
KXMLBHR-26APR022140ATLAZ-AZGPERDOMO2-1,81,0,3,2,1,"ARIMA(3,2,1)",-493.67,0.99,0.8064,0.0358,0.0239,Yes
KXMLBHR-26APR021410MINKC-MINRLEWIS23-1,80,0,0,1,0,"ARIMA(0,1,0)",-460.87,0.2738,0.9791,0.0824,0.0676,Yes
KXNBA1HTOTAL-26APR02PHXCHA-120,80,1,0,1,1,"ARIMA(0,1,1)",-125.97,0.4509,0.6046,0.1577,0.1538,Yes
KXNBA1HTOTAL-26APR02PHXCHA-114,79,1,0,1,3,"ARIMA(0,1,3)",-126.76,0.6014,0.9467,0.1899,0.137,Yes
KXNBA3PT-26APR02PHXCHA-PHXDBOOKER1-3,79,1,3,1,0,"ARIMA(3,1,0)",-183.93,0.5233,0.6107,0.2408,0.2313,Yes
KXNBASPREAD-26APR02NOPPOR-POR22,79,0,2,1,0,"ARIMA(2,1,0)",-465.77,0.5577,0.7124,0.0237,0.0234,Yes
KXNBAPTS-26APR02MINDET-MINRGOBERT27-10,77,0,0,1,0,"ARIMA(0,1,0)",-157.35,0.245,0.9904,0.0911,0.0431,Yes
KXCS2MAP-26APR021000FDBLAR-2-FDB,74,1,1,1,0,"ARIMA(1,1,0)",-95.75,0.6341,0.5525,0.1254,0.1213,Yes
KXMLBHR-26APR021410MINKC-MINLKEASCHALL15-1,74,0,0,1,1,"ARIMA(0,1,1)",-393.77,0.9769,0.9996,0.0462,0.036,Yes
KXNBASPREAD-26APR02NOPPOR-POR16,74,0,3,1,0,"ARIMA(3,1,0)",-319.57,0.4829,0.9661,0.0522,0.0476,Yes
KXUE-MEX26FEB-2.6,74,0,2,1,2,"ARIMA(2,1,2)",-169.01,0.9069,0.6759,0.0584,0.0445,Yes
KXNBA3PT-26APR02PHXCHA-PHXDBOOKER1-2,71,1,0,1,1,"ARIMA(0,1,1)",-155.03,0.5301,0.9707,0.3314,0.309,Yes
KXNBAPTS-26APR02MINDET-DETATHOMPSON9-10,71,0,0,1,1,"ARIMA(0,1,1)",-113.91,0.5114,0.0058,0.1515,0.094,No
KXNBAPTS-26APR02PHXCHA-PHXJGREEN4-20,71,1,0,1,0,"ARIMA(0,1,0)",-197.88,0.3529,0.0512,0.1443,0.1133,Yes
KXNBASPREAD-26APR02NOPPOR-POR19,70,0,0,1,1,"ARIMA(0,1,1)",-344.87,0.6287,0.3546,0.0254,0.0174,Yes
KXNBA2D-26APR02MINDET-MINRGOBERT27,68,0,2,1,0,"ARIMA(2,1,0)",-133.56,0.9624,0.7497,0.3262,0.2914,Yes
KXNBA3PT-26APR02SASLAC-LACDGARLAND10-3,68,0,4,1,1,"ARIMA(4,1,1)",-438.15,0.6081,0.9857,0.0148,0.0088,Yes
KXNBAPTS-26APR02SASLAC-SASDVASSELL24-15,67,0,0,1,0,"ARIMA(0,1,0)",-163,0.1183,0.827,0.2131,0.1671,Yes
KXNBAAST-26APR02SASLAC-SASSCASTLE5-8,66,0,2,0,2,"ARIMA(2,0,2)",-248,0.3287,0.9987,0.1616,0.1282,No
KXNBA1HSPREAD-26APR02NOPPOR-NOP3,65,1,1,0,0,"ARIMA(1,0,0)",-30.06,0.9247,0.029,0.4782,0.4008,No
KXNBA3PT-26APR02MINDET-DETDROBINSON55-3,65,1,0,1,0,"ARIMA(0,1,0)",-135.1,0.238,0.0079,0.4422,0.4408,No
KXNBATEAMTOTAL-26APR02SASLAC-LAC105,65,0,0,1,1,"ARIMA(0,1,1)",-57.15,0.3961,0.4197,0.2728,0.258,Yes
KXUE-BR26FEB-5.2,65,1,1,1,1,"ARIMA(1,1,1)",-91.29,0.0381,0.7716,0.1722,0.1208,Yes
KXNBATEAMTOTAL-26APR02SASLAC-SAS118,63,0,0,0,2,"ARIMA(0,0,2)",-55.2,0.4683,0.739,0.7135,0.6838,No
KXMLBHR-26APR022140ATLAZ-ATLOALBIES1-1,62,0,0,1,4,"ARIMA(0,1,4)",-296.95,0.3601,0.9956,0.0567,0.0492,Yes
KXNBAPTS-26APR02MINDET-MINRGOBERT27-15,62,0,2,0,0,"ARIMA(2,0,0)",-356.65,0.01,0.2186,0.0552,0.0431,No
KXNBAPTS-26APR02NOPPOR-PORTCAMARA33-15,62,1,0,2,2,"ARIMA(0,2,2)",-232.98,0.8364,0.6516,0.6084,0.5281,Yes
KXNBAPTS-26APR02PHXCHA-PHXDBOOKER1-20,62,1,0,1,0,"ARIMA(0,1,0)",-298.99,0.9319,0.9388,0.2726,0.2413,Yes
KXNBAAST-26APR02MINDET-DETTHARRIS12-4,60,0,0,1,0,"ARIMA(0,1,0)",-171.11,0.99,1,0.2221,0.1219,Yes
KXNBAPTS-26APR02MINDET-MINDDIVINCENZO0-10,57,0,0,1,0,"ARIMA(0,1,0)",-140.5,0.99,0.7213,0.4564,0.4149,Yes
